SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,101 Mojonera Ct,LOS GATOS,CA,95032,1988000,5,3.0,LOS GATOS,2468,8012,1988,1,806,,Active,,,http://www.redfin.com/CA/Los-Gatos/101-Mojonera-Ct-95032/home/1403036,MLSListings,ML81794564,N,Y,37.258794,-121.9582204
MLS Listing,,Townhouse,251 Casitas Bulevar,LOS GATOS,CA,95032,1495000,3,2.5,LOS GATOS,2175,2304,1969,3,687,760,Active,,,http://www.redfin.com/CA/Los-Gatos/251-Casitas-Bulevar-95032/home/822567,MLSListings,ML81794245,N,Y,37.261271,-121.986279
MLS Listing,,Townhouse,223 Escobar Ave,LOS GATOS,CA,95032,995000,2,2.0,LOS GATOS,1015,1890,1972,3,980,365,Active,,,http://www.redfin.com/CA/Los-Gatos/223-Escobar-Ave-95032/home/1122478,MLSListings,ML81794192,N,Y,37.2405246,-121.9450113
MLS Listing,,Townhouse,106 Via Lago,LOS GATOS,CA,95032,1198000,2,2.0,LOS GATOS,1450,924,1975,3,826,520,Active,,,http://www.redfin.com/CA/Los-Gatos/106-Via-Lago-95032/home/1755629,MLSListings,ML81794179,N,Y,37.259503,-121.989097
MLS Listing,,Single Family Residential,15685 Shady Ln,LOS GATOS,CA,95032,5295000,5,6.5,LOS GATOS,7743,89515,2019,4,684,417,Active,,,http://www.redfin.com/CA/Los-Gatos/15685-Shady-Ln-95032/home/104216098,MLSListings,ML81794126,N,Y,37.2330766,-121.9418448
MLS Listing,,Single Family Residential,16239 Jacaranda Way,LOS GATOS,CA,95032,2148000,5,2.0,LOS GATOS,2173,8548,1955,4,988,,Active,,,http://www.redfin.com/CA/Los-Gatos/16239-Jacaranda-Way-95032/home/1261780,MLSListings,ML81793410,N,Y,37.2379608,-121.954193
MLS Listing,,Single Family Residential,104 Bacigalupi Dr,LOS GATOS,CA,95032,1824000,5,3.0,LOS GATOS,2344,7773,1968,5,778,48,Active,,,http://www.redfin.com/CA/Los-Gatos/104-Bacigalupi-Dr-95032/home/930012,MLSListings,ML81793989,N,Y,37.2339141,-121.9134206
MLS Listing,,Townhouse,106 Willow Hill Ct,LOS GATOS,CA,95032,1245000,3,2.5,LOS GATOS,1574,2028,1973,5,791,497,Active,,,http://www.redfin.com/CA/Los-Gatos/106-Willow-Hill-Ct-95032/home/1710548,MLSListings,ML81793780,N,Y,37.255425,-121.9624528
MLS Listing,,Condo/Co-op,14225 Lora #81,LOS GATOS,CA,95032,625000,2,1.0,LOS GATOS,996,1020,1963,7,628,553,Active,,,http://www.redfin.com/CA/Los-Gatos/14225-Lora-Dr-95032/unit-81/home/830816,MLSListings,ML81792480,N,Y,37.2623657,-121.9771601
MLS Listing,,Single Family Residential,136 Potomac Dr,LOS GATOS,CA,95032,1750000,4,2.0,LOS GATOS,1389,7686,1960,8,1260,,Active,,,http://www.redfin.com/CA/Los-Gatos/136-Potomac-Dr-95032/home/837459,MLSListings,ML81793779,N,Y,37.2436556,-121.9551544
MLS Listing,,Single Family Residential,100 Smith Ranch Ct,LOS GATOS,CA,95032,1399888,2,2.0,LOS GATOS,1351,4277,2005,9,1036,85,Active,,,http://www.redfin.com/CA/Los-Gatos/100-Smith-Ranch-Ct-95032/home/559938,MLSListings,ML81793636,N,Y,37.2571175,-121.9654853
MLS Listing,,Townhouse,1637 Las Piedras Ct,LOS GATOS,CA,95032,1298000,3,2.5,LOS GATOS,1953,2034,1979,9,665,435,Active,,,http://www.redfin.com/CA/Los-Gatos/1637-Las-Piedras-Ct-95032/home/1383512,MLSListings,ML81793625,N,Y,37.2654349,-121.983947
MLS Listing,,Single Family Residential,15890 Shannon Rd,LOS GATOS,CA,95032,2299000,3,2.0,LOS GATOS,2136,25245,1942,9,1076,,Active,,,http://www.redfin.com/CA/Los-Gatos/15890-Shannon-Rd-95032/home/1421542,MLSListings,ML81793239,N,Y,37.2275266,-121.9477332
MLS Listing,,Single Family Residential,16025 Camino Del Cerro,LOS GATOS,CA,95032,2699000,4,3.0,LOS GATOS,2883,32011,1977,9,936,,Active,,,http://www.redfin.com/CA/Los-Gatos/16025-Camino-Del-Cerro-95032/home/1109942,MLSListings,ML81793526,N,Y,37.2358559,-121.9448668
MLS Listing,,Townhouse,124 Charter Oaks Cir,LOS GATOS,CA,95032,1499000,3,2.5,LOS GATOS,1691,2023,1973,10,886,497,Active,,,http://www.redfin.com/CA/Los-Gatos/124-Charter-Oaks-Cir-95032/home/1816670,MLSListings,ML81793443,N,Y,37.253985,-121.964689
MLS Listing,,Multi-Family (2-4 Unit),916 Castlewood Dr,LOS GATOS,CA,95032,2369500,8,,LOS GATOS,3681,8539,1963,10,644,,Active,,,http://www.redfin.com/CA/Los-Gatos/916-Castlewood-Dr-95032/home/820809,MLSListings,ML81793369,N,Y,37.2623549,-121.9723277
MLS Listing,,Single Family Residential,17203 Deer Park Rd,LOS GATOS,CA,95032,7500000,5,6.0,LOS GATOS,5032,120225,2004,11,1490,,Active,,,http://www.redfin.com/CA/Los-Gatos/17203-Deer-Park-Rd-95032/home/740679,MLSListings,ML81793311,N,Y,37.219518,-121.924537
MLS Listing,,Condo/Co-op,14225 Lora Dr #103,LOS GATOS,CA,95032,589000,1,1.0,LOS GATOS,816,811,1963,11,722,490,Active,,,http://www.redfin.com/CA/Los-Gatos/14225-Lora-Dr-95032/unit-103/home/973424,MLSListings,ML81793197,N,Y,37.2623727,-121.9767088
MLS Listing,,Single Family Residential,100 Del Carlo Ct,LOS GATOS,CA,95032,2795000,4,2.5,LOS GATOS,2442,9651,1999,18,1145,,Active,,,http://www.redfin.com/CA/Los-Gatos/100-Del-Carlo-Ct-95032/home/909734,MLSListings,ML81792352,N,Y,37.2315862,-121.9548211
MLS Listing,,Single Family Residential,109 La Rinconada Dr,LOS GATOS,CA,95030,4900000,5,5.0,LOS GATOS,5172,11968,2004,22,947,,Active,,,http://www.redfin.com/CA/Los-Gatos/109-La-Rinconada-Dr-95030/home/1663819,MLSListings,ML81791075,N,Y,37.2515012,-121.9699113
MLS Listing,,Single Family Residential,407 University Ave,LOS GATOS,CA,95032,1595000,2,1.0,LOS GATOS,784,6077,1928,29,2034,,Active,,,http://www.redfin.com/CA/Los-Gatos/407-University-Ave-95032/home/833388,MLSListings,ML81791099,N,Y,37.2286544,-121.9795884
MLS Listing,,Single Family Residential,215 Montclair Rd,LOS GATOS,CA,95032,2450000,4,2.5,LOS GATOS,2424,11404,1966,29,1011,,Active,,,http://www.redfin.com/CA/Los-Gatos/215-Montclair-Rd-95032/home/887640,MLSListings,ML81791022,N,Y,37.2545411,-121.989987
MLS Listing,,Single Family Residential,110 Mill Rd,LOS GATOS,CA,95032,1639000,4,2.5,LOS GATOS,2184,2415,1999,30,750,250,Active,,,http://www.redfin.com/CA/Los-Gatos/110-Mill-Rd-95032/home/1309137,MLSListings,ML81790846,N,Y,37.252024,-121.962649
MLS Listing,,Single Family Residential,16466 Bonnie Ln,LOS GATOS,CA,95032,6600000,3,3.0,LOS GATOS,2618,82100,2002,36,2521,,Active,,,http://www.redfin.com/CA/Los-Gatos/16466-Bonnie-Ln-95032/home/637940,MLSListings,ML81787997,N,Y,37.229193,-121.953372
MLS Listing,,Single Family Residential,228 Creekside Village Dr,LOS GATOS,CA,95032,1650000,3,2.5,LOS GATOS,1512,2824,2005,37,1091,200,Active,,,http://www.redfin.com/CA/Los-Gatos/228-Creekside-Village-Dr-95032/home/2124751,MLSListings,ML81790191,N,Y,37.228957,-121.975747
MLS Listing,,Single Family Residential,107 Drysdale Dr,LOS GATOS,CA,95032,4395000,6,5.5,LOS GATOS,5046,77553,2006,38,871,,Active,,,http://www.redfin.com/CA/Los-Gatos/107-Drysdale-Dr-95032/home/12177238,MLSListings,ML81790135,N,Y,37.2311179,-121.9461112
MLS Listing,,Townhouse,120 Carlton Ave #36,LOS GATOS,CA,95032,1299000,3,2.5,LOS GATOS,1604,1590,1969,47,810,475,Active,,,http://www.redfin.com/CA/Los-Gatos/120-Carlton-Ave-95032/unit-36/home/1675246,MLSListings,ML81789365,N,Y,37.2422004,-121.9565396
MLS Listing,,Multi-Family (2-4 Unit),842 Pollard Rd,LOS GATOS,CA,95032,1699000,5,,LOS GATOS,2676,7328,1974,48,635,,Active,,,http://www.redfin.com/CA/Los-Gatos/842-Pollard-Rd-95032/home/1517211,MLSListings,ML81787090,N,Y,37.2630199,-121.9716168
