SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (2-4 Unit),5742 Canna Ln Unit B,San Jose,CA,95124,152000,,,,2066,7108,1973,,74,,,,,http://www.redfin.com/CA/San-Jose/5742-Canna-Ln-95124/unit-B/home/921445,,,N,Y,37.2310149,-121.9043295
PAST SALE,,Multi-Family (2-4 Unit),5859 Camden Ave,San Jose,CA,95124,200000,,,,2348,8310,1968,,85,,,,,http://www.redfin.com/CA/San-Jose/5859-Camden-Ave-95124/home/917872,,,N,Y,37.2298532,-121.9047518
PAST SALE,October-3-2003,Single Family Residential,1636 CAPITANCILLOS Dr,San Jose,CA,95120,882500,5,3.0,OAK CANYON,2924,6534,,6088,302,,Sold,,,http://www.redfin.com/CA/San-Jose/1636-Capitancillos-Dr-95120/home/1678416,MLSListings,ML80341006,N,Y,37.2293265,-121.9026179
PAST SALE,,Multi-Family (2-4 Unit),5746 Canna Ln Unit A,San Jose,CA,95124,287500,,,,2066,7015,1972,,139,,,,,http://www.redfin.com/CA/San-Jose/5746-Canna-Ln-95124/unit-A/home/1662811,,,N,Y,37.2310054,-121.904863
PAST SALE,June-18-2007,Townhouse,6092 CALLE DE AMOR,San Jose,CA,95124,590000,2,2.5,San Jose,1490,2178,1985,4734,396,330,Sold,,,http://www.redfin.com/CA/San-Jose/6092-Calle-De-Amor-95124/home/1570596,MLSListings,ML80718271,N,Y,37.228713,-121.905797
PAST SALE,February-28-2006,Townhouse,6037 CALLE DE RICO,San Jose,CA,95124,687000,3,3.5,mantanas de lg,2235,,1985,5209,307,320,Sold,,,http://www.redfin.com/CA/San-Jose/6037-Calle-De-Rico-95124/home/921289,MLSListings,ML80600056,N,Y,37.228744,-121.905319
PAST SALE,February-25-2011,Multi-Family (2-4 Unit),5857 CAMDEN Ave,San Jose,CA,95124,490000,5,3.0,San Jose,2348,8372,1968,3386,209,,Sold,,,http://www.redfin.com/CA/San-Jose/5857-Camden-Ave-95124/home/23478126,MLSListings,ML81058065,N,Y,37.2299355,-121.9047308
PAST SALE,December-28-2010,Townhouse,6039 CALLE DE RICO,San Jose,CA,95124,569000,3,2.5,San Jose,2235,1840,1975,3445,255,297,Sold,,,http://www.redfin.com/CA/San-Jose/6039-Calle-De-Rico-95124/home/1781090,MLSListings,ML81058336,N,Y,37.228744,-121.905319
PAST SALE,,Single Family Residential,1624 Ixias Ct,San Jose,CA,95124,135000,3,2.0,,1286,6360,1963,,105,,,,,http://www.redfin.com/CA/San-Jose/1624-Ixias-Ct-95124/home/1145215,,,N,Y,37.2299229,-121.9057744
PAST SALE,,Single Family Residential,1633 Hyacinth Ln,San Jose,CA,95124,600000,4,3.0,,2425,6730,1963,,247,,,,,http://www.redfin.com/CA/San-Jose/1633-Hyacinth-Ln-95124/home/1718540,,,N,Y,37.2296861,-121.9056854
PAST SALE,May-25-2018,Single Family Residential,1584 Oak Canyon Dr,SAN JOSE,CA,95120,1900000,4,2.5,SAN JOSE,2715,8655,1985,740,700,,Sold,,,http://www.redfin.com/CA/San-Jose/1584-Oak-Canyon-Dr-95120/home/1729943,MLSListings,ML81702610,N,Y,37.2289148,-121.9024845
PAST SALE,,Single Family Residential,1622 Canna Ln,San Jose,CA,95124,72500,4,2.0,,1744,6440,1977,,42,,,,,http://www.redfin.com/CA/San-Jose/1622-Canna-Ln-95124/home/614657,,,N,Y,37.2310105,-121.9052853
PAST SALE,,Condo/Co-op,6047 Calle De Rico,San Jose,CA,95124,158500,2,3.0,,2235,,1975,,71,,,,,http://www.redfin.com/CA/San-Jose/6047-Calle-De-Rico-95124/home/1758638,,,N,Y,37.228744,-121.905319
PAST SALE,,Single Family Residential,1632 Canna Ln,San Jose,CA,95124,335000,4,2.0,,1744,6071,1977,,192,,,,,http://www.redfin.com/CA/San-Jose/1632-Canna-Ln-95124/home/1552330,,,N,Y,37.230689,-121.9057299
PAST SALE,,Single Family Residential,1588 Oak Canyon Dr,San Jose,CA,95120,417000,4,2.0,,2312,8896,1985,,180,,,,,http://www.redfin.com/CA/San-Jose/1588-Oak-Canyon-Dr-95120/home/1267558,,,N,Y,37.2289356,-121.902729
PAST SALE,,Single Family Residential,1580 Oak Canyon Dr,San Jose,CA,95120,385000,4,3.0,,2665,9143,1985,,144,,,,,http://www.redfin.com/CA/San-Jose/1580-Oak-Canyon-Dr-95120/home/1730399,,,N,Y,37.2288686,-121.9022622
PAST SALE,,Multi-Family (2-4 Unit),5741 Clematis Dr #1,San Jose,CA,95124,1100000,,,,3939,9797,1973,,279,,,,,http://www.redfin.com/CA/San-Jose/5741-Clematis-Dr-95124/unit-1/home/1052238,,,N,Y,37.2307683,-121.9042824
PAST SALE,September-26-2016,Single Family Residential,1628 Canna Ln,SAN JOSE,CA,95124,1150000,3,2.0,SAN JOSE,1569,6272,1977,1346,733,,Sold,,,http://www.redfin.com/CA/San-Jose/1628-Canna-Ln-95124/home/918045,MLSListings,ML81598072,N,Y,37.2306804,-121.9055076
PAST SALE,February-25-2010,Multi-Family (2-4 Unit),5747 CLEMATIS Dr,San Jose,CA,95124,805000,5,4.5,Single Family Neighborhood,2704,7405,1974,3751,298,,Sold,,,http://www.redfin.com/CA/San-Jose/5747-Clematis-Dr-95124/unit-A/home/1247592,MLSListings,ML81000133,N,Y,37.2307263,-121.9050408
PAST SALE,,Multi-Family (2-4 Unit),5748 Canna Ln Unit A,San Jose,CA,95124,209500,,,,2066,7061,1972,,101,,,,,http://www.redfin.com/CA/San-Jose/5748-Canna-Ln-95124/unit-A/home/921435,,,N,Y,37.2310273,-121.9050408
PAST SALE,July-6-2004,Single Family Residential,1625 IXIAS Ct,San Jose,CA,95124,620000,3,2.0,San Jose,1241,6360,1963,5811,500,,Sold,,,http://www.redfin.com/CA/San-Jose/1625-Ixias-Ct-95124/home/638151,MLSListings,ML80398277,N,Y,37.2303855,-121.9058633
PAST SALE,July-15-2003,Townhouse,6096 CALLE DE AMOR,San Jose,CA,95124,410000,2,2.5,MONTANAS DE L.G.,1490,,,6168,275,288,Sold,,,http://www.redfin.com/CA/San-Jose/6096-Calle-De-Amor-95124/home/1100637,MLSListings,ML80328971,N,Y,37.228713,-121.905797
PAST SALE,July-30-2008,Condo/Co-op,6100 CALLE DE AMOR,San Jose,CA,95124,560000,2,2.5,San Jose,1490,2300,1977,4326,376,350,Sold,,,http://www.redfin.com/CA/San-Jose/6100-Calle-De-Amor-95124/home/1340450,MLSListings,ML80822197,N,Y,37.228713,-121.905797
PAST SALE,September-19-2007,Single Family Residential,5872 IXIAS Ln,San Jose,CA,95124,720000,3,2.0,San Jose,1286,6098,1968,4641,560,,Sold,,,http://www.redfin.com/CA/San-Jose/5872-Ixias-Ln-95124/home/1507297,MLSListings,ML80744992,N,Y,37.2297089,-121.9051075
PAST SALE,March-3-2014,Townhouse,6090 CALLE DE AMOR,San Jose,CA,95124,636500,2,2.5,San Jose,1490,2300,1977,2284,427,375,Sold,,,http://www.redfin.com/CA/San-Jose/6090-Calle-De-Amor-95124/home/921390,MLSListings,ML81401094,N,Y,37.228713,-121.905797
PAST SALE,February-26-2007,Townhouse,6098 CALLE DE AMOR,San Jose,CA,95124,585000,2,2.5,Mt de Los Gatos,1490,,1985,4846,393,320,Sold,,,http://www.redfin.com/CA/San-Jose/6098-Calle-De-Amor-95124/home/1481208,MLSListings,ML80700754,N,Y,37.228713,-121.905797
PAST SALE,December-19-2018,Single Family Residential,1628 Ixias Ct,SAN JOSE,CA,95124,1100000,4,2.0,SAN JOSE,1282,6360,1963,532,858,,Sold,,,http://www.redfin.com/CA/San-Jose/1628-Ixias-Ct-95124/home/919733,MLSListings,ML81731843,N,Y,37.2299601,-121.9059463
PAST SALE,October-11-2019,Single Family Residential,1630 Hyacinth Ln,SAN JOSE,CA,95124,1382500,3,2.0,SAN JOSE,1769,8064,1963,236,782,,Sold,,,http://www.redfin.com/CA/San-Jose/1630-Hyacinth-Ln-95124/home/1569561,MLSListings,ML81762151,N,Y,37.2292016,-121.9054187
