SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-25-2002,Single Family Residential,5997 VISTA Loop,San Jose,CA,95124,684900,4,2.5,San Jose,2512,11310,,6553,273,,Sold,,,http://www.redfin.com/CA/San-Jose/5997-Vista-Loop-95124/home/1841382,MLSListings,ML80220032,N,Y,37.2266191,-121.9074415
PAST SALE,December-7-2001,Townhouse,6025 CALLE DE SUERTE #6025,San Jose,CA,95124,443000,3,3.5,MONTANAS DL LAGO,2235,,,6753,198,235,Sold,,,http://www.redfin.com/CA/San-Jose/6025-Calle-De-Suerte-95124/unit-6025/home/113815092,MLSListings,ML80153776,N,Y,37.227289,-121.905759
PAST SALE,March-15-2013,Single Family Residential,1654 CAPITANCILLOS Pl,San Jose,CA,95120,1200000,4,2.5,San Jose,2715,6534,1985,2637,442,,Sold,,,http://www.redfin.com/CA/San-Jose/1654-Capitancillos-Pl-95120/home/921581,MLSListings,ML81303670,N,Y,37.2282969,-121.9026624
PAST SALE,March-2-2000,Single Family Residential,5942 VISTA Loop,San Jose,CA,95124,797000,4,2.0,CUSTOM,2747,8000,,7398,290,,Sold,,,http://www.redfin.com/CA/San-Jose/5942-Vista-Loop-95124/home/864194,MLSListings,ML80001033,N,Y,37.2281981,-121.9089529
PAST SALE,September-1-2010,Townhouse,6094 CALLE DE AMOR,San Jose,CA,95124,483500,2,2.5,San Jose,1490,2300,1977,3563,324,364,Sold,,,http://www.redfin.com/CA/San-Jose/6094-Calle-De-Amor-95124/unit-87/home/1553402,MLSListings,ML81022434,N,Y,37.228713,-121.905797
PAST SALE,November-21-2014,Townhouse,6085 CALLE DE AMOR,San Jose,CA,95124,635000,2,2.5,San Jose,1490,2300,1977,2021,426,375,Sold,,,http://www.redfin.com/CA/San-Jose/6085-Calle-De-Amor-95124/home/1863813,MLSListings,ML81436313,N,Y,37.228313,-121.906426
PAST SALE,November-8-2013,Multi-Family (2-4 Unit),5895 CAMDEN Ave,San Jose,CA,95124,802200,5,3.0,San Jose,2044,9620,1970,2399,392,,Sold,,,http://www.redfin.com/CA/San-Jose/5895-Camden-Ave-95124/home/638052,MLSListings,ML81336164,N,Y,37.229197,-121.904928
PAST SALE,April-23-2018,Condo/Co-op,6024 Calle De Suerte,SAN JOSE,CA,95124,1125000,3,3.5,SAN JOSE,2235,,1975,772,503,410,Sold,,,http://www.redfin.com/CA/San-Jose/6024-Calle-De-Suerte-95124/home/921313,MLSListings,ML81696499,N,Y,37.227434,-121.90538
PAST SALE,November-22-2010,Multi-Family (2-4 Unit),5883 CAMDEN Ave,San Jose,CA,95124,620000,5,3.0,San Jose,2213,8816,1968,3481,280,,Sold,,,http://www.redfin.com/CA/San-Jose/5883-Camden-Ave-95124/home/917881,MLSListings,ML81022772,N,Y,37.2293616,-121.9048852
PAST SALE,June-3-2002,Single Family Residential,1636 HYACINTH Ln,San Jose,CA,95124,529000,3,2.0,San Jose,1286,6200,,6575,411,,Sold,,,http://www.redfin.com/CA/San-Jose/1636-Hyacinth-Ln-95124/home/833531,MLSListings,ML80221531,N,Y,37.2292055,-121.9059077
PAST SALE,June-17-2003,Single Family Residential,6069 RIDING Ct,San Jose,CA,95124,760000,4,2.5,WOODGATE,2361,9200,,6196,322,,Sold,,,http://www.redfin.com/CA/SAN-JOSE/6069-RIDING-CT-95124/home/890387,MLSListings,ML80327872,N,Y,37.226291,-121.906039
