SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,14480 Esther Dr,SAN JOSE,CA,95124,1250000,3,1.0,SAN JOSE,1107,8280,1948,5,1129,,Active,,,http://www.redfin.com/CA/San-Jose/14480-Esther-Dr-95124/home/1194076,MLSListings,ML81792907,N,Y,37.2581815,-121.9356006
MLS Listing,,Single Family Residential,1775 Foxworthy Ave,SAN JOSE,CA,95124,1199888,4,2.0,SAN JOSE,1589,5550,1954,26,755,,Active,,,http://www.redfin.com/CA/San-Jose/1775-Foxworthy-Ave-95124/home/852072,MLSListings,ML81790746,N,Y,37.2684844,-121.9150654
MLS Listing,,Single Family Residential,5044 Carm Ave,SAN JOSE,CA,95124,1299000,3,2.0,SAN JOSE,1280,5886,1957,1,1015,,Active,,,http://www.redfin.com/CA/San-Jose/5044-Carm-Ave-95124/home/1203701,MLSListings,ML81793863,N,Y,37.246203,-121.9198661
MLS Listing,,Single Family Residential,5025 Esther Dr,SAN JOSE,CA,95124,1720000,3,2.5,SAN JOSE,1702,6853,1955,2,1011,,Active,,,http://www.redfin.com/CA/San-Jose/5025-Esther-Dr-95124/home/837083,MLSListings,ML81792929,N,Y,37.2464077,-121.9356006
MLS Listing,,Single Family Residential,4042 Meridian Ave,SAN JOSE,CA,95124,849950,3,2.0,SAN JOSE,1346,5948,1965,4,631,,Active,,,http://www.redfin.com/CA/San-Jose/4042-Meridian-Ave-95124/home/715651,MLSListings,ML81793702,N,Y,37.2616948,-121.901462
MLS Listing,,Single Family Residential,5171 Rafton Dr,SAN JOSE,CA,95124,1585000,4,2.0,SAN JOSE,2075,7938,1962,4,764,,Active,,,http://www.redfin.com/CA/San-Jose/5171-Rafton-Dr-95124/home/890293,MLSListings,ML81793653,N,Y,37.2439498,-121.9091308
MLS Listing,,Single Family Residential,4988 Adair Way,SAN JOSE,CA,95124,1985000,4,3.0,SAN JOSE,2091,8367,2020,4,949,,Active,,,http://www.redfin.com/CA/San-Jose/4988-Adair-Way-95124/home/1517631,MLSListings,ML81790496,N,Y,37.246853,-121.9435114
MLS Listing,,Single Family Residential,15159 Stratford Dr,SAN JOSE,CA,95124,1049000,3,1.0,SAN JOSE,1430,8379,1948,4,734,,Active,,,http://www.redfin.com/CA/San-Jose/15159-Stratford-Dr-95124/home/1050139,MLSListings,ML81793548,N,Y,37.259549,-121.9341783
MLS Listing,,Single Family Residential,4864 Sandy Ln,SAN JOSE,CA,95124,1300000,3,2.0,SAN JOSE,1656,6377,1957,4,785,,Active,,,http://www.redfin.com/CA/San-Jose/4864-Sandy-Ln-95124/home/834032,MLSListings,ML81792438,N,Y,37.2493571,-121.9264669
MLS Listing,,Single Family Residential,2674 Hocking Way,SAN JOSE,CA,95124,1199000,3,2.0,SAN JOSE,1408,6646,1957,5,852,,Active,,,http://www.redfin.com/CA/San-Jose/2674-Hocking-Way-95124/home/1765637,MLSListings,ML81793018,N,Y,37.2733787,-121.9313338
MLS Listing,,Single Family Residential,2169 Rosswood Dr,SAN JOSE,CA,95124,1899000,3,3.0,SAN JOSE,1599,7288,1963,6,1188,,Active,,,http://www.redfin.com/CA/San-Jose/2169-Rosswood-Dr-95124/home/1402884,MLSListings,ML81792114,N,Y,37.2442404,-121.9375561
MLS Listing,,Single Family Residential,1739 Curtner Ave,SAN JOSE,CA,95124,1269000,4,2.5,SAN JOSE,2042,7193,1966,7,621,58,Active,,,http://www.redfin.com/CA/San-Jose/1739-Curtner-Ave-95124/home/1606928,MLSListings,ML81793180,N,Y,37.2804614,-121.9127538
MLS Listing,,Single Family Residential,14785 Berry Way,SAN JOSE,CA,95124,2299000,3,3.0,SAN JOSE,2280,9335,1950,7,1008,,Active,,,http://www.redfin.com/CA/San-Jose/14785-Berry-Way-95124/home/651217,MLSListings,ML81793045,N,Y,37.2555836,-121.9274669
MLS Listing,,Single Family Residential,2942 La Jolla Ave,SAN JOSE,CA,95124,1239888,3,2.0,SAN JOSE,1248,7892,1956,7,994,,Active,,,http://www.redfin.com/CA/San-Jose/2942-La-Jolla-Ave-95124/home/1477679,MLSListings,ML81793080,N,Y,37.2688401,-121.9168879
MLS Listing,,Single Family Residential,3468 Kilo Ave,SAN JOSE,CA,95124,1198000,3,2.0,SAN JOSE,1280,6031,1957,8,936,,Active,,,http://www.redfin.com/CA/San-Jose/3468-Kilo-Ave-95124/home/1267526,MLSListings,ML81793026,N,Y,37.2646362,-121.9108423
MLS Listing,,Single Family Residential,3114 Franela Dr,SAN JOSE,CA,95124,998000,4,1.5,SAN JOSE,1328,5000,1953,8,752,,Active,,,http://www.redfin.com/CA/San-Jose/3114-Franela-Dr-95124/home/853700,MLSListings,ML81793006,N,Y,37.2688025,-121.9078638
MLS Listing,,Single Family Residential,1948 Foxworthy Ave,SAN JOSE,CA,95124,899000,3,2.0,SAN JOSE,1569,6641,1955,10,573,,Active,,,http://www.redfin.com/CA/San-Jose/1948-Foxworthy-Ave-95124/home/1697794,MLSListings,ML81791302,N,Y,37.2670885,-121.9277336
MLS Listing,,Condo/Co-op,2090 Mendocino Ln,SAN JOSE,CA,95124,998000,2,2.5,SAN JOSE,1464,,2007,10,682,260,Active,,,http://www.redfin.com/CA/San-Jose/2090-Mendocino-Ln-95124/home/17290586,MLSListings,ML81792832,N,Y,37.2509736,-121.9357515
MLS Listing,,Single Family Residential,3071 Franela Dr,SAN JOSE,CA,95124,949950,4,1.0,SAN JOSE,1140,5000,1953,11,833,,Active,,,http://www.redfin.com/CA/San-Jose/3071-Franela-Dr-95124/home/974387,MLSListings,ML81792726,N,Y,37.2690404,-121.9085751
MLS Listing,,Single Family Residential,3058 Kilo Ave,SAN JOSE,CA,95124,1299888,5,2.0,SAN JOSE,1559,5270,1954,18,834,,Active,,,http://www.redfin.com/CA/San-Jose/3058-Kilo-Ave-95124/home/1633692,MLSListings,ML81790743,N,Y,37.2682074,-121.9123537
MLS Listing,,Single Family Residential,1702 Myra Dr,SAN JOSE,CA,95124,1449000,4,2.0,SAN JOSE,1396,7824,1959,18,1038,,Active,,,http://www.redfin.com/CA/San-Jose/1702-Myra-Dr-95124/home/1770607,MLSListings,ML81791859,N,Y,37.2368382,-121.9098198
MLS Listing,,Single Family Residential,14857 Rossmoyne Dr,SAN JOSE,CA,95124,1625000,3,3.0,SAN JOSE,2360,9600,1950,20,689,,Active,,,http://www.redfin.com/CA/San-Jose/14857-Rossmoyne-Dr-95124/home/734654,MLSListings,ML81790185,N,Y,37.2528804,-121.9209329
MLS Listing,,Single Family Residential,1637 Jacob Ave,SAN JOSE,CA,95124,1545000,4,3.0,SAN JOSE,2057,5934,1949,25,751,,Active,,,http://www.redfin.com/CA/San-Jose/1637-Jacob-Ave-95124/home/1596664,MLSListings,ML81790971,N,Y,37.2624247,-121.9034181
MLS Listing,,Condo/Co-op,3212 Kimber Ct #77,SAN JOSE,CA,95124,589000,1,1.0,SAN JOSE,815,,1977,35,723,310,Active,,,http://www.redfin.com/CA/San-Jose/3212-Kimber-Ct-95124/unit-77/home/1259938,MLSListings,ML81789235,N,Y,37.2653938,-121.9211946
MLS Listing,,Single Family Residential,1717 Silverwood Dr,SAN JOSE,CA,95124,1369444,3,2.0,SAN JOSE,1796,6310,1957,43,762,,Active,,,http://www.redfin.com/CA/San-Jose/1717-Silverwood-Dr-95124/home/854406,MLSListings,ML81789329,N,Y,37.2628108,-121.909153
