SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1644 Ixias Ct,SAN JOSE,CA,95124,1250000,3,2.0,SAN JOSE,1286,8526,1963,6,972,,Active,,,http://www.redfin.com/CA/San-Jose/1644-Ixias-Ct-95124/home/875182,MLSListings,ML81793958,N,Y,37.2300231,-121.9071969
PAST SALE,May-19-2004,Single Family Residential,1641 CANNA Ln,San Jose,CA,95124,645000,3,2.0,San Jose,1540,6077,1985,5859,419,,Sold,,,http://www.redfin.com/CA/San-Jose/1641-Canna-Ln-95124/home/918031,MLSListings,ML80390500,N,Y,37.2311178,-121.9063078
PAST SALE,March-31-1998,Single Family Residential,1631 CANNA Ln,San Jose,CA,95124,365000,3,2.0,San Jose,1540,6534,,8100,237,,Sold,,,http://www.redfin.com/CA/San-Jose/1631-Canna-Ln-95124/home/1609363,MLSListings,ML89807134,N,Y,37.2311151,-121.9057521
PAST SALE,October-12-2001,Single Family Residential,1662 CANNA Ln,San Jose,CA,95124,480000,3,2.0,San Jose,1540,6700,,6809,312,,Sold,,,http://www.redfin.com/CA/San-Jose/1662-Canna-Ln-95124/home/1841380,MLSListings,ML80146305,N,Y,37.2310636,-121.9072414
PAST SALE,December-2-2010,Single Family Residential,1664 HYACINTH Ln,San Jose,CA,95124,652000,3,2.0,San Jose,1692,6344,1963,3471,385,,Sold,,,http://www.redfin.com/CA/San-Jose/1664-Hyacinth-Ln-95124/home/930122,MLSListings,ML81035830,N,Y,37.2298803,-121.908175
PAST SALE,June-30-2014,Multi-Family (2-4 Unit),5779 LILAC BLOSSOM Ln,San Jose,CA,95124,1280000,5,4.0,San Jose,2788,6098,1986,2165,459,,Sold,,,http://www.redfin.com/CA/San-Jose/5779-Lilac-Blossom-Ln-95124/home/113843759,MLSListings,ML81418176,N,Y,37.2319292,-121.9072414
PAST SALE,August-31-2017,Single Family Residential,1696 Zinnia Ln,SAN JOSE,CA,95124,1225000,3,2.0,SAN JOSE,1210,6100,1962,1007,1012,,Sold,,,http://www.redfin.com/CA/San-Jose/1696-Zinnia-Ln-95124/home/920663,MLSListings,ML81671657,N,Y,37.2317721,-121.9090196
PAST SALE,April-16-2015,Single Family Residential,1668 Hyacinth Ln,SAN JOSE,CA,95124,991000,3,2.0,SAN JOSE,1057,6344,1963,1875,938,,Sold,,,http://www.redfin.com/CA/San-Jose/1668-Hyacinth-Ln-95124/home/1317495,MLSListings,ML81454710,N,Y,37.2302324,-121.9081305
PAST SALE,December-14-2017,Single Family Residential,1693 Canna Ln,SAN JOSE,CA,95124,1585000,4,2.0,SAN JOSE,1364,6039,1962,902,1162,,Sold,,,http://www.redfin.com/CA/San-Jose/1693-Canna-Ln-95124/home/1247564,MLSListings,ML81684764,N,Y,37.2314954,-121.9090641
PAST SALE,February-13-2009,Single Family Residential,1641 HYACINTH Ln,San Jose,CA,95124,685000,3,2.0,San Jose,1176,6000,1963,4128,582,,Sold,,,http://www.redfin.com/CA/San-Jose/1641-Hyacinth-Ln-95124/home/919738,MLSListings,ML80832218,N,Y,37.2296743,-121.9063523
PAST SALE,December-31-2003,Single Family Residential,1638 CANNA Ln,San Jose,CA,95124,620000,4,2.0,San Jose,1744,6100,1986,5999,356,,Sold,,,http://www.redfin.com/CA/San-Jose/1638-Canna-Ln-95124/home/1447371,MLSListings,ML80359862,N,Y,37.2307195,-121.90613
PAST SALE,August-19-2004,Single Family Residential,5780 RUDY Dr,San Jose,CA,95124,620000,3,2.0,San Jose,1540,7062,1985,5767,403,,Sold,,,http://www.redfin.com/CA/San-Jose/5780-Rudy-Dr-95124/home/921454,MLSListings,ML80408227,N,Y,37.2318556,-121.9057299
PAST SALE,August-18-2011,Single Family Residential,1675 ZINNIA Ln,San Jose,CA,95124,600000,4,2.0,San Jose,1664,6604,1973,3212,361,,Sold,,,http://www.redfin.com/CA/San-Jose/1675-Zinnia-Ln-95124/home/920830,MLSListings,ML81127564,N,Y,37.2319464,-121.907686
PAST SALE,July-25-2002,Single Family Residential,5791 RUDY Ct,San Jose,CA,95124,549950,3,2.0,San Jose,1540,6360,,6523,357,,Sold,,,http://www.redfin.com/CA/San-Jose/5791-Rudy-Ct-95124/home/795762,MLSListings,ML80227628,N,Y,37.2313593,-121.90613
PAST SALE,June-30-2009,Single Family Residential,1675 CANNA Ln,San Jose,CA,95124,690000,3,2.0,Cambrian (14),1265,6763,1969,3991,545,,Sold,,,http://www.redfin.com/CA/San-Jose/1675-Canna-Ln-95124/home/1052233,MLSListings,ML80909357,N,Y,37.231501,-121.9080416
PAST SALE,September-26-2016,Multi-Family (2-4 Unit),5786 Lilac Blossom Ln,SAN JOSE,CA,95124,1395000,5,,SAN JOSE,2788,6400,1986,1346,500,,Sold,,,http://www.redfin.com/CA/San-Jose/5786-Lilac-Blossom-Ln-95124/home/1544427,MLSListings,ML81600920,N,Y,37.23185,-121.906722
PAST SALE,May-26-2017,Single Family Residential,1686 Hyacinth Ln,SAN JOSE,CA,95124,1707750,4,3.0,SAN JOSE,3335,8094,1981,1104,512,,Sold,,,http://www.redfin.com/CA/San-Jose/1686-Hyacinth-Ln-95124/home/890325,MLSListings,ML81647206,N,Y,37.2303856,-121.9086862
PAST SALE,May-1-2017,Single Family Residential,1646 Canna Ln,SAN JOSE,CA,95124,1315000,3,2.0,SAN JOSE,1569,6039,1977,1129,838,,Sold,,,http://www.redfin.com/CA/San-Jose/1646-Canna-Ln-95124/home/1288735,MLSListings,ML81647094,N,Y,37.2306457,-121.9067524
PAST SALE,December-17-2013,Single Family Residential,1667 HYACINTH Ln,San Jose,CA,95124,860000,4,2.0,San Jose,1282,6000,1963,2360,671,,Sold,,,http://www.redfin.com/CA/San-Jose/1667-Hyacinth-Ln-95124/home/1145067,MLSListings,ML81340630,N,Y,37.2302685,-121.9075081
PAST SALE,,Single Family Residential,1655 Hyacinth Ln,San Jose,CA,95124,225500,4,5.0,,3009,8167,1963,,75,,,,,http://www.redfin.com/CA/San-Jose/1655-Hyacinth-Ln-95124/home/919742,,,N,Y,37.2296554,-121.9074192
PAST SALE,,Single Family Residential,5789 Rudy Ct,San Jose,CA,95124,66500,3,2.0,,1569,6137,1977,,42,,,,,http://www.redfin.com/CA/San-Jose/5789-Rudy-Ct-95124/home/1794155,,,N,Y,37.2313314,-121.9062856
PAST SALE,,Single Family Residential,1645 Canna Ln,San Jose,CA,95124,259000,3,2.0,,1569,6065,1977,,165,,,,,http://www.redfin.com/CA/San-Jose/1645-Canna-Ln-95124/home/1744173,,,N,Y,37.2311009,-121.9065523
PAST SALE,,Single Family Residential,1691 Hyacinth Ln,San Jose,CA,95124,235500,4,2.0,,1529,6073,1962,,154,,,,,http://www.redfin.com/CA/San-Jose/1691-Hyacinth-Ln-95124/home/1405909,,,N,Y,37.2308094,-121.9088418
PAST SALE,January-5-2011,Single Family Residential,1671 HYACINTH Ln,Campbell,CA,95124,1295000,5,3.5,Complete Remodel in 2000,3573,16335,2000,3437,362,,Sold,,,http://www.redfin.com/CA/San-Jose/1671-Hyacinth-Ln-95124/home/920836,MLSListings,ML81053603,N,Y,37.2305817,-121.9075304
PAST SALE,March-27-2012,Single Family Residential,1671 ZINNIA Ln,San Jose,CA,95124,726000,3,2.0,San Jose,1410,6240,1970,2990,515,,Sold,,,http://www.redfin.com/CA/San-Jose/1671-Zinnia-Ln-95124/home/1519770,MLSListings,ML81205144,N,Y,37.23161,-121.9075526
PAST SALE,,Single Family Residential,1638 Ixias Ct,San Jose,CA,95124,224000,3,2.0,,1176,6402,1963,,190,,,,,http://www.redfin.com/CA/San-Jose/1638-Ixias-Ct-95124/home/1302064,,,N,Y,37.2299464,-121.9065746
PAST SALE,,Single Family Residential,1698 Canna Ln,San Jose,CA,95124,225000,6,4.0,,1993,6000,1962,,113,,,,,http://www.redfin.com/CA/San-Jose/1698-Canna-Ln-95124/home/919663,,,N,Y,37.2310523,-121.9092864
PAST SALE,,Single Family Residential,1670 Canna Ln,San Jose,CA,95124,240000,3,2.0,,2006,6989,1969,,120,,,,,http://www.redfin.com/CA/San-Jose/1670-Canna-Ln-95124/home/1159099,,,N,Y,37.2310553,-121.9077082
PAST SALE,,Single Family Residential,1667 Zinnia Ln,San Jose,CA,95124,65200,3,2.0,,1205,6243,1969,,54,,,,,http://www.redfin.com/CA/San-Jose/1667-Zinnia-Ln-95124/home/1851036,,,N,Y,37.2314595,-121.9075526
PAST SALE,,Single Family Residential,1692 Zinnia Ln,San Jose,CA,95124,139000,3,2.0,,1210,5993,1962,,115,,,,,http://www.redfin.com/CA/San-Jose/1692-Zinnia-Ln-95124/home/1145060,,,N,Y,37.2317878,-121.9088418
PAST SALE,,Single Family Residential,1684 Zinnia Ln,San Jose,CA,95124,240000,4,3.0,,1638,6081,1962,,147,,,,,http://www.redfin.com/CA/San-Jose/1684-Zinnia-Ln-95124/home/1496903,,,N,Y,37.2317573,-121.9084417
PAST SALE,,Single Family Residential,1680 Zinnia Ln,San Jose,CA,95124,30000,4,3.0,,1887,9582,1970,,16,,,,,http://www.redfin.com/CA/San-Jose/1680-Zinnia-Ln-95124/home/851149,,,N,Y,37.231762,-121.908175
PAST SALE,,Single Family Residential,1637 Ixias Ct,San Jose,CA,95124,139000,4,2.0,,1647,6389,1963,,84,,,,,http://www.redfin.com/CA/San-Jose/1637-Ixias-Ct-95124/home/921423,,,N,Y,37.2303847,-121.906619
PAST SALE,,Single Family Residential,1641 Ixias Ct,San Jose,CA,95124,217000,4,2.0,,1813,6745,1963,,120,,,,,http://www.redfin.com/CA/San-Jose/1641-Ixias-Ct-95124/home/959029,,,N,Y,37.2303933,-121.9068413
PAST SALE,,Single Family Residential,1645 Ixias Ct,San Jose,CA,95124,49000,3,2.0,,1387,7154,1963,,35,,,,,http://www.redfin.com/CA/San-Jose/1645-Ixias-Ct-95124/home/1123002,,,N,Y,37.2302223,-121.9072859
